#{"t_start": 1760091914.9956167, "env_id": "None"}
r,l,t
6.33254,5000,1996.620146
-291.8707,5000,1997.699688
-502.7678,5000,2005.072322
-307.7597,5000,2005.535135
-176.97536,5000,2008.689064
-130.28076,5000,2009.662702
-526.8832,5000,2017.320266
-784.2323,5000,2017.658352
415.41354,5000,2020.806815
-697.2972,5000,2021.800984
-127.21432,5000,2029.81835
-355.2781,5000,2030.291284
-294.19812,5000,2033.387592
-86.3677,5000,2034.472155
-361.3543,5000,2042.073316
-185.36627,5000,2042.401795
-310.79916,5000,2045.450807
-307.45273,5000,2046.503526
-206.22165,5000,2053.776787
-184.39394,5000,2054.225219
-213.06776,5000,2057.906718
-96.9514,5000,2058.971587
-288.98016,5000,2066.449162
-201.56831,5000,2066.793653
-858.1791,5000,2070.006298
-502.0749,5000,2071.055141
-396.44473,5000,2078.506674
328.72266,5000,2078.979665
-384.44574,5000,2081.988011
-197.9107,5000,2083.05476
-206.93375,5000,2093.017394
-14.428139,5000,2093.464358
-317.20273,5000,2097.918113
-277.83173,5000,2099.271565
-246.41376,5000,2109.044441
-320.6257,5000,2109.703595
-759.93726,5000,2113.98755
-567.4318,5000,2115.410604
-100.641815,5000,2126.413826
-418.37875,5000,2126.870639
133.94305,5000,2130.550255
-534.332,5000,2131.433489
419.0847,5000,2139.465124
-599.0193,5000,2139.952328
429.6568,5000,2143.14132
-87.76674,5000,2144.253131
-29.14389,5000,2152.110013
-973.5309,5000,2152.656216
-577.2923,5000,2155.867674
504.67978,5000,2156.821509
462.2275,5000,2164.432646
-951.6343,5000,2164.879423
333.5409,5000,2168.013045
-223.78754,5000,2169.123593
-137.49683,5000,2176.909299
-166.64069,5000,2177.408573
217.06717,5000,2180.662191
-127.68983,5000,2181.562539
-313.07373,5000,2188.817939
-686.33044,5000,2189.353807
-444.26358,5000,2192.445005
-86.51889,5000,2193.443837
232.30644,5000,2201.095264
59.925777,5000,2201.604254
-679.2725,5000,2204.691172
19.317698,5000,2205.63611
-123.765305,5000,2213.545866
155.02812,5000,2214.024679
-436.32422,5000,2217.267689
-751.2127,5000,2218.41446
442.51776,5000,2225.984987
-129.13803,5000,2226.519332
-311.91525,5000,2229.667839
153.35902,5000,2230.615554
-622.59125,5000,2238.451757
-259.61154,5000,2238.778592
-210.45444,5000,2242.020993
-645.56757,5000,2243.034593
-243.7803,5000,2250.431468
-203.00706,5000,2250.927813
-670.0036,5000,2254.013433
-780.391,5000,2255.174975
-261.31674,5000,2262.629026
-855.9884,5000,2262.975003
-123.455154,5000,2266.156146
-1118.2548,5000,2267.597637
