#{"t_start": 1770881564.9366617, "env_id": "None"}
r,l,t
-113.73485,536,45.325344
-370.29135,1138,45.334376
-88.49168,205,45.408944
-90.502525,126,45.474063
-68.11464,185,45.523386
-220.31242,768,45.549343
-17.097359,30,45.587764
-66.93587,598,45.651791
-86.38301,145,45.652589
-63.1892,144,45.69996
-190.53833,432,45.926121
-145.29207,316,46.029126
-183.51793,408,46.075571
-224.323,480,46.271074
-1145.9958,1857,46.418684
-52.115963,308,46.441761
-92.768196,353,46.44747
-370.3793,1691,46.716474
-204.11388,750,46.824446
-28.008234,61,46.900157
-66.59848,390,46.91978
-588.2186,1345,47.261626
-246.28517,502,47.319098
-20.720182,68,47.346777
-365.40536,1717,47.397162
-745.91614,887,47.515192
-125.12107,355,47.769383
-501.8875,765,47.817665
-272.68033,389,47.858111
-210.68053,803,47.881421
-284.0644,563,47.992142
-225.21907,455,48.051706
-34.476723,113,48.184314
-77.36879,173,48.195446
-39.267845,52,48.256543
-532.84485,1684,48.290936
-607.39496,1633,48.377634
-101.871185,539,48.459295
-80.403534,278,48.517911
-118.77552,285,48.715324
-71.91002,242,48.744873
-18.264143,38,48.759242
-300.66397,773,48.800199
-129.0976,259,48.824929
-126.33488,560,48.926216
-101.33526,166,48.958263
-166.89851,656,49.073846
-33.21466,190,49.157912
-55.844444,397,49.224316
-39.3325,407,49.314832
-93.42279,271,49.541093
-136.85298,691,49.624692
-233.99391,569,49.636173
-165.02242,479,49.641249
-18.530277,26,49.655389
-77.6697,107,49.767276
-499.79163,1706,49.796537
-41.53086,249,49.836417
-146.16408,234,49.930074
-339.05988,657,49.93209
-40.205147,95,49.946534
-332.4752,1760,49.949231
-119.895966,215,50.181821
-101.83567,214,50.199718
-12.604542,21,50.224458
-42.678654,61,50.294686
-141.40234,602,50.47749
-40.473347,164,50.491776
-26.218685,72,50.578613
-389.07138,819,50.766739
-260.24872,1040,50.870431
-201.54646,599,50.899252
-88.54742,272,50.905229
-310.56958,856,50.951267
-68.466484,250,51.070428
-155.58405,297,51.223322
-618.9374,1666,51.290548
-75.546684,359,51.332148
-160.05214,335,51.350871
-106.046814,148,51.405118
-155.44716,350,51.491515
-43.094116,69,51.572742
-158.86774,214,51.61196
-266.92886,615,51.643539
-32.863934,62,51.652912
-17.17295,30,51.687094
-361.98813,1583,51.841661
-368.1758,1151,51.859772
-127.63695,235,51.918235
-284.37543,783,52.234277
-395.4729,784,52.276384
-621.08044,887,52.466033
-124.01138,556,52.50611
-124.00345,250,52.532513
-292.43494,769,52.532593
-9.156822,23,52.535607
-19.272228,123,52.683254
-557.63947,957,53.067499
-214.88594,1010,53.071628
-154.02809,358,53.10997
-377.00732,620,53.210253
-132.50397,261,53.379505
-286.73227,327,53.453701
-169.02974,784,53.468699
-68.59451,310,53.47571
-306.66205,1548,53.536252
-228.42581,847,53.549743
-47.691315,91,53.588984
-162.96754,442,53.738997
-125.323814,277,53.788774
-301.32297,1627,54.221516
-325.08444,1211,54.988905
-380.8616,1073,55.01431
-337.12112,1073,55.062669
-335.1993,1419,55.070975
-46.216038,222,55.253423
-39.19846,215,55.271123
-162.37706,275,55.390964
-57.45041,72,55.476062
-145.47691,371,55.51155
-604.7833,1265,55.724497
-172.62804,411,55.742693
-43.133224,107,55.853547
-81.928406,381,55.929282
-100.18956,268,56.060746
-75.2328,121,56.0723
-126.17606,485,56.089213
-24.19061,81,56.184388
-21.53288,125,56.209749
-63.425888,260,56.49297
-345.6196,674,56.652749
-1871.7258,2730,56.837038
-1342.439,2825,56.898681
-59.54482,108,57.036328
-1530.4226,3011,57.061246
-562.9915,1770,57.384753
-340.20703,461,57.393545
